Latitude,Longitude,HS,UCL,LCL_,Altitud_90m,Altitud_150m,Altitud_300m,band_9_300m,band_10_300m,band_11_150m,band_11_300m,Costo de Movimiento_300m,Distancia a Bosque_90m,Distancia a Bosque_150m,Distancia a Bosque_300m,Distancia a corredor biologico_90m,Distancia a corredor biologico_150m,Distancia a corredor biologico_300m,NBRI_300m,Resistencia_150m,Resistencia_300m,Label
6.087354569,-75.33737978,-10.825871,11.84611,"  -8.936539",2157.604492,2156.513158,2154.803987,0.00116962,294.9182743,292.7765709,292.1505365,1,2380.576172,2381.502177,2386.260347,1178.435059,1176.904461,1176.962551,-0.255776305,178.2666499,169.8034417,0
6.087503495,-75.33738954,-10.997583,11.257223,"  -9.143016",2158.414307,2157.065789,2155,0.00117298,294.9618848,292.8628737,292.1917903,1,2396.203369,2396.980944,2399.851686,1165.682007,1165.252755,1164.820116,-0.236590491,177.6091238,169.5379,0
6.08765242,-75.33740053,-11.453782,10.259549,"  -9.644338",2158.76416,2157.078947,2155.086379,0.001175479,295.0093437,292.8898716,292.2353075,1,2411.806152,2415.291684,2417.251736,1152.708008,1150.081964,1150.183498,-0.228774728,179.5385205,169.1763673,0
6.087801346,-75.33741151,-11.977151,9.252659," -10.208000",2159.15625,2157.44,2155.199336,0.001181488,295.0060296,293.0401241,292.2315995,1,2427.436035,2428.186312,2430.499593,1139.829468,1139.874335,1138.531048,-0.210146977,178.2313558,168.812804,0
6.087950272,-75.33742128,-12.424318,10.10234," -10.691498",2159.946777,2157.445946,2155.36,0.001186195,295.032793,293.0612832,292.250996,1,2443.105225,2444.996087,2445.160964,1126.909302,1125.678467,1124.988545,-0.204172377,180.983132,168.5666148,0
6.088099198,-75.33743227,-10.912716,9.484884," -10.912716",2160.397461,2157.797297,2155.5,0.001195293,295.0978569,293.1360798,292.2975067,1,2458.757813,2461.493883,2458.112629,1114.230103,1112.576257,1114.398537,-0.195084105,179.4035006,168.2932026,0
6.088248124,-75.33744325,-11.236338,10.468327," -11.236338",2160.166504,2157.986842,2155.548822,0.001202289,295.1359584,293.1458964,292.3283542,1,2474.415771,2476.457801,2473.342408,1101.589478,1101.998125,1100.11876,-0.18654687,180.1874814,167.8635271,0
6.088397049,-75.33745302,-8.178913,9.959805," -11.476862",2159.808594,2157.986486,2155.719064,0.001207884,295.2115479,293.1660891,292.3901216,1,2490.121094,2490.84994,2488.485857,1089.02478,1090.757033,1086.787567,-0.184780735,180.1824139,167.7145273,0
6.088545975,-75.337464,-8.540697,11.018151," -10.170601",2159.289063,2158.297297,2155.692308,0.001215917,295.2646621,293.0644894,292.4274586,1,2505.800537,2508.125492,2500.854476,1076.602173,1076.646779,1074.540101,-0.173409186,180.5684551,167.366663,0
6.08869368,-75.33747499,-8.815649,10.523983," -10.427285",2158.441406,2158.4,2155.692053,0.001221922,295.3563386,293.0820194,292.4998381,1,2521.361572,2521.718008,2515.194381,1064.431519,1065.752315,1062.227276,-0.171829288,179.3856719,166.8826241,0
