Latitude,Longitude,HS,UCL,LCL,Altitud_90m,Altitud_150m,Altitud_300m,Band_9_300m,Band_10_300m,Band_11_150m,Band_11_300m,Costo_mov_300m,Dist_Bosque_90m,Dist_Bosque_150m,Dist_Bosque_300m,Dist_corredor_90m,Dist_Corredor_150m,Dist_Corredor_300m,NBRI_300m,Resistencia_150m,Resistencia_300m,Label
6.025755955,-75.41663434,15.685313,12.312127,-12.986764,2136.172414,2136.753247,2138.347003,0.00215992,294.3231668,291.4982312,291.5095756,5.649006623,2614.834429,2603.202061,2546.624784,4604.182655,4607.727051,4605.852701,0.16856429,151.8142986,141.5998085,1
6.025716893,-75.41653424,15.342242,11.992407,-13.131351,2136.142857,2136.9375,2138.580442,0.002165059,294.3303626,291.4002815,291.5101617,5.636666667,2613.371704,2601.277029,2545.160067,4607.727051,4607.727051,4608.538068,0.166369119,151.8526265,141.4419805,1
6.02567661,-75.41643415,15.037248,11.710423,-13.240763,2136.034483,2136.775,2138.796875,0.002163088,294.3355579,291.4112064,291.5096664,5.630872483,2605.6934,2597.746833,2545.374714,4617.600743,4614.598215,4611.733745,0.165355836,151.5654998,141.7523394,1
6.025636326,-75.41633405,14.653902,13.001827,-11.779292,2136.071429,2136.8,2138.971698,0.002167432,294.3388466,291.3885891,291.5100391,5.615384615,2598.333644,2592.352404,2543.011213,4623.086125,4619.448448,4617.728289,0.162367469,151.8251708,141.5466893,1
6.025597264,-75.41623395,14.102317,12.470104,-12.013085,2136.413793,2136.925926,2139.294671,0.002170851,294.3717506,291.3695735,291.5328261,5.607508532,2588.542679,2587.171452,2540.444102,4620.438005,4623.08613,4623.08611,0.157518779,152.8615362,141.6759696,1
6.025558201,-75.41613385,13.004534,11.402991,-11.01862,2136.37931,2137.025,2139.467085,0.00217168,294.383759,291.3912891,291.5410065,5.59,2586.544495,2583.402067,2538.396905,4623.086129,4625.915431,4627.378374,0.154175883,151.1746399,141.509517,1
6.025517918,-75.41603376,12.103499,12.103499,-9.931479,2136.592593,2137.064103,2139.767296,0.002175278,294.4074886,291.3877978,291.5579075,5.578595318,2578.811698,2578.93087,2533.893056,4629.343533,4631.388329,4632.075533,0.152571355,151.7068929,141.7488999,0
6.025477635,-75.41593488,14.419432,11.321809,-8.812735,2136.607143,2137.556962,2140.085714,0.002173652,294.4351624,291.4075356,291.5794568,5.564784053,2582.743127,2573.337858,2527.666653,4638.445237,4637.626055,4636.817732,0.144091645,150.895131,141.740409,1
6.025438572,-75.41583478,17.003403,10.864991,-9.084851,2136.62069,2137.65,2140.238245,0.002175781,294.4435668,291.4133869,291.5856211,5.551155116,2567.804217,2560.713213,2525.554335,4640.902676,4639.74315,4639.379183,0.142643902,150.8924864,141.7329211,1
6.02539951,-75.41573468,16.706852,10.60946,-9.207061,2136.965517,2137.974684,2140.487342,0.002176303,294.4912072,291.4347472,291.6209465,5.538461538,2564.273635,2556.815054,2521.162983,4648.318917,4645.817565,4641.84686,0.141393233,149.9718154,141.6204886,1
